x,Curve2
0.246879,333.4
0.279142,364.2
0.291734,395.6
0.300411,681.1
0.30915,1744.3
0.315514,2617.2
0.321888,3632.8
0.329834,4616.7
0.339358,5664.1
0.348879,6663.8
0.360757,7615.9
0.373407,8393.3
0.386049,9059.6
0.40026,9662.3
0.411299,9963.6
0.420752,10106.2
0.430981,10105.9
0.44119,9851.6
0.449007,9200.6
0.45446,8502
0.462231,7263.7
0.466875,6279.5
0.472304,5279.3
0.481657,4152
0.491036,3342.3
0.503574,2691.1
0.517692,2119.3
0.531819,1658.5
0.549885,1261.2
0.564815,1006.8
0.584477,895.1
0.600213,894.7
0.626978,1052.6
0.653755,1353.4
0.6829,1765.3
0.709689,2224.8
0.730173,2557.6
0.751446,2922
0.770351,3191.3
0.788465,3397.2
0.810511,3587
0.837279,3776.7
0.864825,3871.1
0.897093,3965.5
